Orden,Fase,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Descripción Detallada,Nivel Dificultad,Dependencias,Modelo Pricing Referencia,IA Planificación (Ask Mode),IA Ejecución (Agent Mode),IA Corrección,Clasificación Ejecución,Horas Rev.,Capa 1: IA Consultor Legal,Capa 2: Textos Legales (bcn.cl),Capa 3: Causas Reales PJUD,Capa 4: Abogado Validación
41,Fase 3: Fundación (Feature + Negocio),6.04,06 Negocio,SQL: Plans Schema Update (4 Planes + OCR),Alta,Listo,2.0,COMPLETADO. 4 planes: free|basico($20)|pro($60)|ultra($99). plan_type CHECK actualizado. Columnas renombradas: chat_count→fast_chat_count. Nuevas: full_analysis_count + monthly_full_analysis_count. Tabla ocr_usage. Funciones: check_user_limits (3 capas × 4 planes) + increment_counter + maybe_reset_monthly_counters + handle_new_user. Soft cap fast_chat PRO/ULTRA con throttle 30s. TypeScript: PLAN_LIMITS + PlanType + ActionType actualizados.,Alta,1.04,Free/Basico/Pro/Ultra,,-,-,-,Delegable,2.0,-,-,-,-
44,Fase 3: Fundación (Feature + Negocio),5.01,05 Frontend,Vistas de Casos (Sidepanel completo + Dashboard mínimo),Alta,Pendiente,9.0,REFINAMIENTO POST-PIVOT: ya existen páginas en dashboard (causas + chat + pdf-viewer + suscripción placeholder). Auditar UI existente vs esta especificación antes de implementar. Priorizar: alinear vistas existentes con arquitectura multi-procedimiento + badges + filtros. NO empezar de cero. SIDEPANEL (completo): Real-time (Supabase subscriptions). useOptimistic React 19. Agrupar por causa (ROL + Tribunal). Badge PRINCIPAL de procedimiento (Ordinario/Ejecutivo/Sumario/Monitorio/Voluntario) desde cases.procedimiento — color-coded para identificación rápida (eje de routing). Badge SECUNDARIO de libro/tipo (c/v/e/a/f/i) desde cases.libro_tipo como metadata visual complementaria. Organizar por cuaderno y dentro de cuaderno por tipo (resoluciones/escritos/actuaciones/notificaciones). Mostrar folio + fecha + descripción trámite por documento. Indicadores: estado pipeline (pendiente OCR/procesando/listo IA) + estado sync (sincronizado/desactualizado vía 4.19) + badge 'Nuevo' en documentos donde created_at > last_synced_at anterior. Capa disponible según plan. Filtro principal por procedimiento + filtro secundario por libro/tipo. COMPETENCIA CIVIL COMPLETA: soportar todos los procedimientos civiles. Caratulado puede ser null → mostrar ROL + Tribunal como identificador mínimo. DASHBOARD (mínimo V1): lista simple de causas sincronizadas (ROL + Tribunal + procedimiento + estado sync + fecha última sync) + link a gestión de suscripción (6.01). Sin chat ni visor PDF en Dashboard V1.,Muy Alta,7.05 + 4.19,,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Debug | Max ON,Semi-manual,6.0,Pedir a la IA que defina jerarquía visual óptima para expediente civil chileno: causa (ROL + Tribunal + Carátula) → cuaderno → tipo documento (resoluciones/escritos/actuaciones/notificaciones) → folio individual. Pedir recomendaciones UX para badges de procedimiento (Ordinario/Ejecutivo/Sumario) e indicadores de estado.,-,Cargar 3 causas reales completas con todos sus documentos. Verificar que la organización visual (cuadernos + folios + tipos) coincida con cómo PJUD organiza el expediente. El abogado usuario debe reconocer la estructura intuitivamente.,-
42,Fase 4: Escudo MVP,4.04,04 Seguridad,Middleware: Limits & Rate Guard (4 Planes),Alta,Listo,5.0,COMPLETADO. Rate limit in-memory por IP (sin Redis). Plan limits enforcement en /api/chat (3 capas) + /api/upload (case) + /api/scraper/sync (case en primera sync). Archivos: rate-limit.ts + plan-guard.ts. Rate limits: chat 20/min + upload 20/min + sync 5/min + cases GET 30/min + cases DELETE 10/min + doc-url 60/min. Response 429 estandarizado con code/plan/limit/upgrade_required. Fair use throttle 30s para fast_chat PRO/ULTRA.,Alta,1.04 + 6.04,4 Planes,,-,-,-,Delegable,4.0,-,-,-,-
45,Fase 4: Escudo MVP,6.03,06 Legal,Privacy Consent Modal (Sidepanel),Alta,Pendiente,3.0,Modal obligatorio ANTES de primera sincronización de causa. Casillas: docs civiles no reservados + autoriza análisis PJud + reconoce IA. Persiste en DB. Aparece antes de JWT Extractor (4.16).,Media,4.16,,Sonnet 4.5 | Max OFF,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Agent | Max OFF,Delegable,2.0,Pedir a la IA que redacte los textos del modal: qué datos se procesan (documentos judiciales civiles no reservados) + qué hace el sistema (análisis con IA) + que el usuario reconoce naturaleza asistencial de la IA.,Verificar Ley 19.628 (protección de datos personales Chile) para requisitos mínimos de consentimiento informado en procesamiento de datos judiciales.,-,Incluir texto del modal en la revisión de Legal & Terms (5.03) con abogado.
46,Fase 4: Escudo MVP,2.02,02 Privacidad,Privacy: AI Provider Data Controls (Google + Anthropic),Alta,Pendiente,2.0,AMBOS PROVEEDORES — proteger privilegio abogado-cliente en los dos. GOOGLE (Gemini Capa 1): deshabilitar data logging y model training en Vertex AI / Google AI Studio. Verificar que Google Search Grounding no almacena queries de jurisprudencia. ANTHROPIC (Claude Capas 2-3): verificar que API comercial no usa datos para entrenamiento (default: Anthropic no lo hace para API). Configurar Web Search Tool: si se requiere Zero Data Retention (ZDR) → usar versión web_search_20250305 (ZDR-eligible) o configurar web_search_20260209 con allowed_callers: ['direct'] para deshabilitar dynamic filtering y mantener ZDR. Documentar políticas de retención de datos de ambos proveedores. NOTA: Citations API de Claude es compatible con ZDR sin restricciones.,Alta,,,Opus 4.6 Max (cerebro) | Max OFF,Opus 4.6 Max (cerebro) | Max OFF,Opus 4.6 (cerebro) | Agent | Max OFF,Manual,2.0,-,-,-,-
43,Fase 5: Revenue & Lanzamiento,6.01,06 Negocio,Flow.cl Suscripciones & Webhooks (3 Planes Pagados),Alta,Listo,4.0,COMPLETADO. Flow.cl (no Stripe — Chile no soportado). 3 planes CLP: Básico $16.990 + Pro $49.990 + Ultra $89.990. Cliente Flow con firma HMAC-SHA256. API routes: /api/flow/subscribe (crea customer + redirect tarjeta) + /api/flow/callback (crea suscripción + actualiza plan_type) + /api/flow/webhook (notificaciones pago/cancelación) + /api/flow/portal (cambiar plan / cancelar). Migración: flow_customer_id + flow_subscription_id + flow_plan_id en profiles. UI /dashboard/suscripcion: plan actual + barras uso + cards planes + botones. BLOQUEADO PARA TESTING: Flow requiere cargo automático habilitado (necesita sitio web publicado o contactar comercial@flow.cl).,Alta,6.04,Básico $16.990 / Pro $49.990 / Ultra $89.990 CLP,,-,-,-,Semi-manual,3.0,-,-,-,-
47,Fase 5: Revenue & Lanzamiento,5.02,05 Frontend,Landing Page (4 Planes + Pricing),Alta,Pendiente,6.0,REFINAMIENTO POST-PIVOT: copy debe reflejar estado actual — multi-proveedor (Gemini + Claude) + competencia civil completa + 3 capas IA como diferenciador real. Ajustar messaging post-pivots. Landing high-conversion. Hero + 'Cómo funciona' (Sincronizar→Procesar→Preguntar) + Demo + Pricing (Free/Individual $99). 'Menos de lo que cobra un procurador por una gestión'. Tabla comparativa features Free vs Individual. CTA: descargar extensión. Mostrar 3 capas IA como diferenciador. Sección competencia civil completa: 'Cubre TODA la competencia civil — desde ejecutivos de cobranza hasta procedimientos voluntarios y sumarios de arrendamiento. Los 6 libro/tipo: todo lo que pasa por PJUD Civil'.,Media,,,Sonnet 4.5 | Max OFF,Sonnet 4.5 (cerebro) | Max OFF,Sonnet 4.5 | Agent | Max OFF,Semi-manual,5.0,Pedir a la IA que genere copywriting de conversión: hero + Cómo funciona + propuesta de valor por procedimiento + tabla comparativa planes. Adaptar lenguaje al mercado legal chileno (jerga profesional + dolor del abogado litigante).,-,-,-
48,Fase 5: Revenue & Lanzamiento,5.03,05 Frontend,Legal & Terms Pages,Alta,Pendiente,2.0,PRIORIDAD SUBIDA: requisito obligatorio para Chrome Web Store + requisito legal antes de captar usuarios. Términos de Servicio + Política de Privacidad. Cláusula procesamiento IA (Gemini + Claude) + limitación responsabilidad + retención (7 días free / permanente pagos).,Baja,,,Gemini 3 Flash (cerebro) | Max OFF,Sonnet 4.5 | Max OFF,Gemini 3 Flash (cerebro) | Agent | Max OFF,Semi-manual,2.0,Pedir a la IA que redacte Términos de Servicio y Política de Privacidad para SaaS legal chileno. Incluir: procesamiento IA (Gemini + Claude) + limitación responsabilidad por análisis legal generado por IA + retención datos (7d free / permanente pagos) + Ley 19.628 protección datos personales.,Verificar requisitos Ley 19.628 (protección datos) + requisitos Chrome Web Store para extensiones que procesan datos sensibles. Verificar obligaciones como responsable de base de datos.,-,Incluir TOS y Privacy Policy en sesión de validación con abogado. Si presupuesto lo permite consultar abogado especialista en protección de datos para revisión adicional. Verificar cumplimiento normativo chileno.
50,Fase 6: Hardening,4.05,04 Seguridad,Fingerprinting Shield,Baja,Pendiente,3.0,REFINAMIENTO: considerar approach más liviano para MVP (email único + validación básica) antes de integrar FingerprintJS completo. Puede ser over-engineering para fase inicial sin tracción de usuarios. DEPRIORITIZADO: ejecutar solo si se detecta abuso real del plan Free. FingerprintJS en Auth. Genera visitorId. Si dispositivo ya usó Free → bloquear nueva cuenta gratuita → redirect a Pricing.,Media,1.03,,GPT-5.3 Codex High (cerebro) | Max OFF,Sonnet 4.5 (cerebro) | Max OFF,GPT-5.3 Codex Fast (cerebro) | Agent | Max OFF,Delegable,2.0,-,-,-,-
49,Fase 6: Hardening,2.05,02 Storage,The Reaper (Cron Job),Media,Pendiente,3.0,REFINAMIENTO POST-PIVOT: verificar tablas actuales del schema (varias tablas nuevas agregadas en Fase 2). Confirmar que pg_cron está disponible en tier de Supabase contratado. Si no → evaluar alternativa con Supabase Edge Function + cron externo (GitHub Actions / Vercel Cron). pg_cron nocturno. DELETE storage + extracted_texts + document_chunks + document_embeddings + conversations + chat_messages + datos de FREE con last_active > 7 días. PRESERVAR profile + metadata causa (ghost card). Limpiar caches expirados.,Media,7.02 + 3.10 + 4.19,,GPT-5.3 Codex High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Debug | Max OFF,Delegable,2.0,-,-,-,-
51,Fase 7: Optimización,1.06,01 Cimientos,Next.js 'use cache' Setup,Alta,Pendiente,3.0,Directiva 'use cache' en server components para Sidepanel (API). Cachear: listas causas + datos estáticos + config scraper + fingerprints causa.,Media,5.01,,GPT-5.3 Codex High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Max ON,GPT-5.3 Codex Fast (cerebro) | Agent | Max OFF,Delegable,2.5,-,-,-,-
52,Fase 7: Optimización,8.01,08 QA,Test Suite & QA Pipeline,Alta,Pendiente,12.0,Tests integración: pipeline OCR → chunking → embeddings (texto correcto + chunks respetan estructura legal civil multi-procedimiento). Tests precisión RAG multi-procedimiento (COMPETENCIA CIVIL COMPLETA — routing por procedimiento): 10+ queries ordinario + 10+ queries ejecutivo + 5+ queries sumario con respuestas esperadas → evaluar retrieval accuracy + citation correctness + terminología CPC por procedimiento. Tests ejecutivo específicos: ¿se embargaron bienes? → debe citar acta embargo. ¿Se opusieron excepciones? → debe citar escrito excepciones + plazo Art.459. Tests E2E: flujo sync Extension (JWT Extractor → API Sync → procesamiento → chat con citas) con causa ejecutiva real (ej: C-1-2025 BANCO/MENA de DOM2.html). Tests regresión: cambios en prompts no degradan calidad en ningún procedimiento. Test routing: verificar que cases.procedimiento rutea correctamente a prompts y quick actions del procedimiento correspondiente. Verificar que libro_tipo se muestra correctamente como metadata/badge. EXTENSIÓN COMPETENCIA CIVIL COMPLETA: tests de sync/routing/RAG para todos los procedimientos. Tests de caratulado nullable (causa sin DOM1). Tests de UNIQUE constraint sin caratula (7.01 refactorizado). MVP v1: tests con todos los procedimientos accesibles desde Consulta Unificada.,Alta,3.09 + 4.17,,Opus 4.6 Max (cerebro) | Max ON,GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Debug | Max ON,Semi-manual Light,8.0,Pedir a la IA que genere set completo de test cases: 10+ queries ordinario + 10+ queries ejecutivo + 5+ queries sumario + 5+ monitorio. Cada test con: query + expected_answer + expected_citations (tipo doc + folio + cuaderno) + CPC_articles_referenced. Pedir también test cases para editor: estructura esperada de cada tipo de escrito.,Verificar artículos CPC referenciados en expected_answers de los test cases. Cada test que cite un plazo o artículo debe ser verificado contra bcn.cl antes de incluirlo como caso de prueba válido.,Crear fixtures de test con 3 causas reales indexadas (ordinaria + ejecutiva + sumaria). Ejecutar queries y comparar output real vs expected. Los documentos reales del expediente son la fuente de verdad para validar que las citas (foja + cuaderno + fecha) son correctas.,Incluir 5 test cases fallidos o borderline en la sesión de validación con abogado para determinar si el expected_answer es correcto o si debe ajustarse el criterio de evaluación.
